,Artist,Album
1374,Otik ,01 Wetlands
1375,10. Delvino Kai Tsamouria (Delvino And Tsamouria).mp3,10. Delvino Kai Tsamouria (Delvino And Tsamouria)
1376,11 ,Ladies & Gentlemen
1377,02 Guap.mp3,02 Guap
1378,KELMAN DURAN ,04 6 DE LA MAÑANA
1379,04 Ascend To Terra Firma.mp3,04 Ascend To Terra Firma
1380,10 ,Song For The Lonely
1381,01,2_much_chat
1382,07 Covert ID.mp3,07 Covert ID
1383,03,c069ea1c
1384,01,9359998e
1385,03. MMT8 Jam1.mp3,03. MMT8 Jam1
1386,04,0eaa6325
1387,WSDM022 ,TB2
1388,10 Zeed.mp3,10 Zeed
1389,04 ,Locked in Syndrome
1390,02 ,Another Day
1391,Ancient Methods ,When All Is Said And Done
1392,CS + Kreme ,03 Fresh Exit
1393,"Brooke Candy, La Zowi, Enzo Langston, Yung Beef, Rue Maneli, Bootychaaain, Sickboyrari ",02 Que Te Gusta
1394,05_Menzi_featuring_Ecko_Bazz_GQOM_Tera.mp3,05_Menzi_featuring_Ecko_Bazz_GQOM_Tera
1395,Warehouse Rave ,The Calling
1396,01  Bridgetown Dub.mp3,01  Bridgetown Dub
1397,"04  Overpay, Overstay (Instrumental).mp3","04  Overpay, Overstay (Instrumental)"
1398,Whitney K ,07 The Weekend
1399,03,ricochet
1400,05_CS___Kreme_Pussywhistle_Tea.mp3,05_CS___Kreme_Pussywhistle_Tea
1401,Kowton ,03 Balance
1402,1,10 Æon
1403,05 Oi.mp3,05 Oi
1404,Big Hands ,04 Cariatide
1405,Bokeh Allstars ,Eskrima
1406,A6 ,Stretched Thinker
1407,01 Osiris.mp3,01 Osiris
1408,Front de Cadeaux ,04 Yesterland (97bpm)
1409,b,the_seeker
1410,Reptilian Expo ,6)
1411,02,def
1412,Return Of The Crocodile,Slippery Heel
1413,DJ NIGGA FOX ,04 O Badaah
1414,Front de Cadeaux ,04 Chanel Says No (86bpm)
1415,06. Miroloi Tis Xenitias (Lament For The Missing Ones).mp3,06. Miroloi Tis Xenitias (Lament For The Missing Ones)
1416,14 Erotic Moments.mp3,14 Erotic Moments
1417,Space Afrika ,01 self
1418,OH91 ,02 Space
1419,Marv ,04 Prayer For The Little Ones
1420,01. Chorus Scene.mp3,01. Chorus Scene
1421,02 Abrazo.mp3,02 Abrazo
1422,1,02 Positivo
1423,Tribe Of Colin ,06 Japan
1424,Devi Tensione ,03 Tanto Tempo (Kinked feat Das Amore Rework)
1425,Overmono ,01 BMW Track
1426,08. Todo Os Dias (feat. King Doudou).mp3,08. Todo Os Dias (feat. King Doudou)
1427,Gaunt ,She's No Patsy
1428,Huerco S. ,04 Plonk IV
1429,Bruce ,Longshot
1430,O.G. JIGG & FRIENDS ,
1431,07 cosmetico ,2020
1432,Laksa ,01 Ardhall
1433,04,dope
1434,02 ,Mazy
1435,Ascot,01 A1 DirtyWestwood
1436,01 ,Nomisa
1437,09. Cut Eight.mp3,09. Cut Eight
1438,08,931e1b5a
1439,08 ,No Idol (remix)
1440,Marco Shuttle ,10 Bembe Bongo
1441,Nu Guinea ,06 'A Voce 'E Napule
1442,Fabio Fabio ,04 Masochistas
1443,02 ,Gus
1444,Kinsman ,Muscle Memory
1445,10 Final Hour.mp3,10 Final Hour
1446,01 ,yyyyyy2222
1447,03 BURN THE WITCH.mp3,03 BURN THE WITCH
1448,08 ,BBY
1449,"Brooke Candy, La Zowi, Enzo Langston, Yung Beef, Rue Maneli, Bootychaaain, Sickboyrari ",15 Vicio
1450,Benton ,The Callin'
1451,Double Precision x Lurka x Fsk.mp3,Double Precision x Lurka x Fsk
1452,caterina barbieri ,Clessidra
1453,01 1Xtra.mp3,01 1Xtra
1454,01 B2 Venus (SD Master)01.mp3,01 B2 Venus (SD Master)01
1455,02,6097a2ca
1456,O$VMV$M ,Soak (goodnight mix)
1457,YOKEL ,07 sQeek Jam
1458,04 Ladies & Gents.mp3,04 Ladies & Gents
1459,3 Carousel.mp3,3 Carousel
1460,04. Break In.mp3,04. Break In
1461,09. Boss (feat. Pablo Chill,E & Xander)
1462,Ascot,03 B1 Y_Join Me
1463,Vanessa ,06 Test
1464,05 ,Thee 9 Is Up
1465,02_Reyes Del Bario.mp3,02_Reyes Del Bario
1466,"11 Prana Riddim, Pt. 2.mp3","11 Prana Riddim, Pt. 2"
1467,03,oma
1468,4 ,Last Sane Dream
1469,13 Audio Track 13.mp3,13 Audio Track 13
1470,Gaia Tones ,Labyrinth
1471,11 they are afraid of her.mp3,11 they are afraid of her
1472,KRIKOR ,02 IT'S ( NOT ) HOUSERIDDIM FACE B
1473,Kinlaw & Franco Franco ,04 WAVE LED (Holiday Inn Rework)
1474,01_Stay Let's Together.mp3,01_Stay Let's Together
1475,01 Atlantean Encrypted Message.mp3,01 Atlantean Encrypted Message
1476,01 ,Hey Hey Hey Hey
1477,10 Obscured by 5 extended.mp3,10 Obscured by 5 extended
1478,12 ,Marilli 2
1479,05 Dark Just (Kinlaw Remix).mp3,05 Dark Just (Kinlaw Remix)
1480,07 ,Thermonics
1481,18 Ishmael's Intent.mp3,18 Ishmael's Intent
1482,Wisdom Teeth ,02 Batucada
1483,SKREAM ,Off
1484,02 ,Poliwhirl
1485,1.01. tau contrib ,tthrown
1486,08 Movin' Out of Harlem (Feat. ARP 220).mp3,08 Movin' Out of Harlem (Feat. ARP 220)
1487,01 umeme.mp3,01 umeme
1488,Duma ,02 Corners in Nihil
1489,A. Worli [Master].mp3,A. Worli [Master]
1490,08,79a1fd23
1491,Rer Repeter ,02 Another Painful Version
1492,02 ,Edging on the Street
1493,Yabby You & King Tubby ,03 Fire Round Town
1494,04 ,Tuff Cookie
1495,01_Perseverance.mp3,01_Perseverance
1496,Notte Infinita ,04 Oxygen
1497,03,59eff6cc
1498,Yak ,Lucid Nightmare
1499,02 ,Solos
1500,Tribe Of Colin ,04 Wallace
1501,13 ,JME & Giggs
1502,06 ,Hollow Tree
1503,AnD ,ADBF
1504,03 Wooden Words.mp3,03 Wooden Words
1505,08 Love Is Back.mp3,08 Love Is Back
1506,Cop Envy ,BGFT
1507,04 Rudeboyz ,Sambuka Dance
1508,A Made Up Sound ,Endgame
1509,06 ,Babylon Raid (feat. Max Romeo)
1510,03 On Oath.mp3,03 On Oath
1511,01 a1. a.i.r..mp3,01 a1. a.i.r.
1512,01,Rhodes Island
1513,02 Svoboda.mp3,02 Svoboda
1514,Myler ,Butter Soft Leather
1515,joeFarr ,FTone (Original Mix)
1516,sindrome ,Untitled Dub
1517,07 Butterflies.mp3,07 Butterflies
1518,Répéter ,08 Wrong Turn
1519,03 Panagoi.mp3,03 Panagoi
1520,03 ,The Lake
1521,04 ,Missing Person
1522,03 La Puissance (King Doudou Edit).mp3,03 La Puissance (King Doudou Edit)
1523,08. Siena.mp3,08. Siena
1524,John T. Gast ,08 BAD
1525,05 ,Spectre's Bonfire
1526,04. The Edges.mp3,04. The Edges
1527,Seif Gaber ,01 Mort à Crédit (excerpt)
1528,05,Cfa44d38
1529,05 MMANWU.mp3,05 MMANWU
1530,Ploy ,01 Ramos
1531,ORREE ,GRAFT01 B
1532,08,I Think My Tears Have Become Good
1533,Robert Fleck ,Hi Press
1534,V,Feel The Pressure
1535,Solotape ,03 LFJ2
1536,02 Orfeu Version feat Adrian Sherwood.mp3,02 Orfeu Version feat Adrian Sherwood
1537,Emma DJ ,01 MARKET COLLAPSE
1538,03 ,T's Tent
1539,tropicantesimo ,Samba e Amore
1540,a2 ,technocracy
1541,14 ,"My Tiger, My Timing"
1542,Joe ,01 Get Centred
1543,A1 ,Aperta (Improv 1)
1544,01 ,Black Lotus
1545,a rocket in dub ,01 TRAIN DUB
1546,RG ,07 Patience
1547,12,I Talk to the Trees
1548,Paolo Ielasi ,20 Untitled
1549,04,Soak
1550,Bambounou x Bruce ,02 Rai
1551,02 Kingshit VIP.mp3,02 Kingshit VIP
1552,12 ,Delphium
1553,Bandshell ,Rise Em
1554,05 ,sweet meditation
1555,01,02 Systems Align
1556,02,coral_reef
1557,10 ,Hawk
1558,1 ,Fast Life
1559,04_Sputnik_One_Teef.mp3,04_Sputnik_One_Teef
1560,Kowton ,07 Bubbling Under
1561,05,6b1d29de
1562,Abu Ama ,05 Peach Garden
1563,04 ,Solemn
1564,01 01 Say Goodnight.mp3,01 01 Say Goodnight
1565,buttechno ,Styx Vol 3
1566,Le Combat ,The Tower
1567,G Sudden ,05 Sudden Interlude
1568,"Brooke Candy, La Zowi, Enzo Langston, Yung Beef, Rue Maneli, Bootychaaain, Sickboyrari ",11 Tu Toque
1569,07 Lakk.mp3,07 Lakk
1570,01,bnp
1571,Alex Coulton ,Concealed Weapon
1572,05. When It Hits.mp3,05. When It Hits
1573,05 ,Zularic Permutations
1574,01 E,ache
1575,Paleman ,02 Animus
1576,2 Bad Mice ,Limit of Paradise
1577,Aardvarck ,Nubian
1578,05. Trench Foot.mp3,05. Trench Foot
1579,Jerome ,05 KoolKool
1580,B. Anunaku ,Forgotten Tales
1581,01 ,Superiore Lei
1582,Abu Ama ,02 Gods Will
1583,03 Soft Focus.mp3,03 Soft Focus
1584,08 Accursed Share.mp3,08 Accursed Share
1585,01 In God's Image.mp3,01 In God's Image
1586,A1. Significant Other ,Postdrome
1587,Ancient Methods ,Kings & Pawns
1588,02 Patience.mp3,02 Patience
1589,Pugilist & Tamen ,03 Adversity
1590,05 Flowers From Cahors.mp3,05 Flowers From Cahors
1591,4 Keeper.mp3,4 Keeper
1592,Kreggo ,Sudden Changes
1593,Ramadanman ,Glut
1594,Camboja ,16 The River You Can't Stop
1595,1.05. tau contrib ,LiqqPlast
1596,Chaperone ,11 Gotcha Politics is the Side Hustle
1597,3452388_Double_Take_Original_Mix.mp3,3452388_Double_Take_Original_Mix
1598,Isle ,01 Fragments
1599,buttechno ,Warm Wind
1600,SEBASTIANO CARGHINI ,04 A4. BALL
1601,05 ,Love Proceeding
1602,02_Steevio,electrobuzz.net
1603,05 ,Blanket
1604,11 Free Forms.mp3,11 Free Forms
1605,01. Targets.mp3,01. Targets
1606,Big Hands ,02 Calix's Head
1607,04 Looking For A Fight.mp3,04 Looking For A Fight
1608,Sciahri ,Departure
1609,"Bear Bones, Lay Low ",Roll Mix)
1610,Kinlaw & Franco Franco ,02 WAVE LED (Sophrosyne Rework)
1611,02 ,Capsule Detachee
1612,buttechno ,styx vol 2
1613,acadjmia ,03 Punch & Bounce
1614,Manse ,01 Cymbal Shudder
1615,02 ,Camino
1616,06,Plomo Riddim
1617,SEBASTIANO CARGHINI ,06 B2. DAYDREAM LOOPY
1618,01,593fe528
1619,YOKEL ,02 II
1620,Jake Muir ,01 Tonic
1621,Manse ,03 Bea
1622,Ctrls ,Displacer
1623,10 ,Bastard Swarm
1624,The Prince Stoner ,02 Lyon Youth
1625,06. Amnesia Scanner ,Too Wrong
1626,04 ,Saku
1627,Bokeh Allstars ,Full Bloom
1628,13 ,Actium
1629,20 Surfs Up!.mp3,20 Surfs Up!
1630,03 ,411 Esperanza
1631,01 Time Away.mp3,01 Time Away
1632,04. Back In Our Own Backyard.mp3,04. Back In Our Own Backyard
1633,02 ,Revenue (Untold remix)
1634,RG ,03 Tactile
1635,09 ,Plastika
1636,K,Crunch
1637,Two Shell ,Over U
1638,08 Cosmic Raindance.mp3,08 Cosmic Raindance
1639,11 ,Coy Dub
1640,Kreggo ,In Memory Of A Common Feeling
1641,Berceuse Heroique ,05 Dem Panic
1642,02 Work Them.mp3,02 Work Them
1643,John T. Gast ,01 A. KINGS X
1644,Emma DJ ,sous pills
1645,UVB76 ,02 Outrage
1646,1 ,Calibrating Sense
1647,a rocket in dub ,03 DUB AIR
1648,1,Tank
1649,Logic1000 ,05 Na feat. DJ Plead
1650,James Shinra ,03 Propeller
1651,03 ,Guidance
1652,Secret Boyfriend ,"14 Dust, Dimmer"
1653,Sosak ,Buy This Wreck (JoeFarr Remix)
1654,14 Forgive Them Father.mp3,14 Forgive Them Father
1655,06 ,Outlier
1656,13. Runnin.mp3,13. Runnin
1657,"01. Fulana (feat. Ian Isiah, Sinjin Hawke & Zora Jones).mp3","01. Fulana (feat. Ian Isiah, Sinjin Hawke & Zora Jones)"
1658,Breaka ,01 Rory's Theme
1659,SECRET BOYFRIEND ,06 Memorize Them Well
1660,02,how high the moon
1661,Dualit ,Metis
1662,03 HiddenTemple.mp3,03 HiddenTemple
1663,Whitney K ,03 Me Or The Party #165
1664,02 ,Carpo
1665,08,bb979c28
1666,D.K. ,05 Assault From Java
1667,Kowton ,05 Some Cats
1668,01,842dbf34
1669,Myler ,Cake Walk
1670,02 ,Opal Drip
1671,03 風雲再起.mp3,03 風雲再起
1672,Pangaea ,02 Proxy
1673,03,66ca5b05
1674,01,mkd
1675,SPIRINET ,12 Take It For Real
1676,Notte Infinita ,03 Ecstatic Dub (Roller Mix)
1677,07 ,Tio Macaco
1678,01 ,Thelonious
1679,04,dbc8ff0d
1680,05 Retina.mp3,05 Retina
1681,Babe Roots ,"07 Peace, Love and Unity feat Baba Ras"
1682,Berceuse Heroique ,03 Picture of My Daughter on the Tideline
1683,05 Rock This Place.mp3,05 Rock This Place
1684,John T. Gast ,07 PLANE LANDING VOX
1685,Loefah ,01 Natural Charge
1686,10 d2. aftermath am.mp3,10 d2. aftermath am
1687,Ninja Exotic Machine ,Visione)
1688,Ramadanman ,Tempest
1689,The Prince Stoner ,01 Stoner's Dub
1690,Lemonick & Krizzli ,Nammi
1691,Babe Roots ,05 Bless Me feat Baba Ras
1692,INNSYTER ,11 Hospitality
1693,01 NIMBUS.mp3,01 NIMBUS
1694,Pearson Sound X Clara! ,02 Mi Cuerpo (Club Instrumental)
1695,04 ,I Think
1696,22 The Rocker.mp3,22 The Rocker
1697,O.G. JIGG & FRIENDS ,12 A12. Harvest
1698,Logic1000 ,02 The River Is Tight
1699,Alex Coulton ,Bounce
1700,06 Archeus.mp3,06 Archeus
1701,Chaperone ,03 Effectively Vacant but the Casts and Prostheses Still Loiter
1702,03 ,Waxwork (Chord Mix)
1703,Bad Tracking ,04 Banned From Fini
1704,02. Swoeks.mp3,02. Swoeks
1705,Autumns ,04 How To Apply For A Job
1706,07 Untitled.mp3,07 Untitled
1707,Yabby You & King Tubby ,01 Walls of Jerusalem
1708,Tara Clerkin ,14 The Reek (Digital only)
1709,Luca Lozano ,08 Hot Source
1710,02,wus
1711,05 Crustaceans Rise From Salt Water For Vengeance.mp3,05 Crustaceans Rise From Salt Water For Vengeance
1712,02 ,Trails of Sophia
1713,09_ADMSDP (Feat. LA Warman) [Edit].mp3,09_ADMSDP (Feat. LA Warman) [Edit]
1714,Perila and Ulla ,03 blue drum
1715,02. Elgato ,Blue
1716,02,7b06c73b
1717,02,Tinned
1718,07 27th ave. hardcore.mp3,07 27th ave. hardcore
1719,03,03497f78
1720,05 ,Zero Gravity
1721,PEDRO ,01 Vou Matar Lá Um
1722,04 ,You No Go Die... Unless
1723,Tribe Of Colin ,01 Palm Whine
1724,Tzusing ,地心引力抓不住你
1725,06 African Woman.mp3,06 African Woman
1726,02 ,P Money
1727,NKC ,03 Codeine Crash
1728,03 ,Gemini Rising
1729,07 ,Pan
1730,SEBASTIANO CARGHINI ,02 A2. IMPROMPTU TEMPER
1731,Silas & Snare ,03 Whistle Blower
1732,03 Hoe Call.mp3,03 Hoe Call
1733,"05. Phonecall (feat. Jam City, Sinjin Hawke & Zora Jones).mp3","05. Phonecall (feat. Jam City, Sinjin Hawke & Zora Jones)"
1734,11 ,Square Fifths
1735,7 ,QNS6
1736,01 chaka.mp3,01 chaka
1737,Various ,That Fresh
1738,B3 ,Escape From a Dungeon
1739,Emma DJ ,04 YOU CAN'T SPELL LOS ANGELES WITHOUT GEL
1740,Donato Dozzy ,03 Sanza High
1741,04. Bored Hurt.mp3,04. Bored Hurt
1742,03_Steevio,electrobuzz.net
1743,05,9124a9d3
1744,08,48161458
1745,01,03 Sexzzy Creep
1746,Emma DJ ,planet rap
1747,3 ,Eugenic Device
1748,04. Kraanvogel.mp3,04. Kraanvogel
1749,04,ff4a8dc6
1750,05,ef47a500
1751,A7,Hella Creepy cowbell
1752,memotone ,04 Adjusting To The Poison
1753,5 ,All Night Long (Album Version Explicit)
1754,01. Street Dreams (feat. Miguel Atwood,Ferguson)
1755,07 Sucio Y Vicioso (Feat. El Mini &.mp3,07 Sucio Y Vicioso (Feat. El Mini &
1756,Various ,Phonetalk
1757,2 ,Fusion
1758,09 DANCING IN THE SMOKE.mp3,09 DANCING IN THE SMOKE
1759,01 ,Keep On
1760,02 Teenage Fantasy.mp3,02 Teenage Fantasy
1761,wzrdryAV ,13 Monday Haze
1762,Tribe Of Colin ,07 Peckerwood
1763,06. OK Track.mp3,06. OK Track
1764,02_Paroxysm.mp3,02_Paroxysm
1765,02,xix
1766,PEDRO ,02 Passinho da Linha
1767,11 Yussef Dayes ,Ride Out
1768,Emma DJ ,god bless good sex
1769,Secret Rave ,Untitled 01
1770,08 Problem.mp3,08 Problem
1771,5 Hellafied Sisters.mp3,5 Hellafied Sisters
1772,01 Fiebre en el Suelo (King Doudou Edit).mp3.mp3,01 Fiebre en el Suelo (King Doudou Edit).mp3
1773,10 An Intimate Distance.mp3,10 An Intimate Distance
1774,3TH ,Devastated Machinary
1775,01 Intro.mp3,01 Intro
1776,Bokeh Allstars ,Metal Sofia
1777,02 ,Klɪŋ(ɡ)ɒn
1778,04 ,Abstract ''I''
1779,03 ,Shout It Out
1780,01 Fall Short.mp3,01 Fall Short
1781,13  Leave (Instrumental).mp3,13  Leave (Instrumental)
1782,01,Raining Again
1783,08 ,Shim
1784,Front de Cadeaux ,01 Damien Schultz (88bpm)
1785,12 ,Khalid Gun
1786,Andrés Saenz De Sicilia ,10 Carrier
1787,Huerco S. ,05 Plonk V
1788,06. Mecha.mp3,06. Mecha
1789,Paleman ,01 Beezeldub
1790,02 ,Habit Foaming
1791,Mall Grab ,03 Looking For Trouble
1792,03,mkd
1793,Tzusing ,03 Esther
1794,01. Haq Plastic.mp3,01. Haq Plastic
1795,SPIRINET ,14 Outta Here
1796,Babe Roots ,02 Rawness
1797,A3 ,Beat #01
1798,10 Made Me.mp3,10 Made Me
1799,Wisdom Teeth ,Hollaback Lurkz
1800,05 ,5TorqueKonverter
1801,Logic1000 ,06 Baddie Part Two
1802,01 ,Intro
1803,02 The Future Doesn't Exist.mp3,02 The Future Doesn't Exist
1804,SEBASTIANO CARGHINI ,08 B4. ONE THING FOR ANOTHER
1805,10,0ca2c7ed
1806,Sikka Rymes ,Seh Dem Bad
1807,Make Money (feat Bryte).mp3,Make Money (feat Bryte)
1808,Ago ,So Mi Seh
1809,08 ,This Watery Reflection
1810,01 ,La Route des étoiles
1811,Dualit ,Rant
1812,04 ,Ageispolis
1813,03 ,one life to live
1814,K,Cellar Door
1815,12 Audio Track 12.mp3,12 Audio Track 12
1816,Environmental Studies,Beri Beri
1817,08. Dove Stone.mp3,08. Dove Stone
1818,Bokeh Allstars ,Taming Sol
1819,11 Shitty Cough 7.mp3,11 Shitty Cough 7
1820,01 ,Seele
1821,Bokeh Allstars ,Forward
1822,DJ NERVOSO ,03 Avacs
1823,Logic1000 ,04 Derrière
1824,13 ,Losing My Taste For The Night Life (copy 2)
1825,08 Tarass_1.mp3,08 Tarass_1
1826,02 Meiga.mp3,02 Meiga
1827,O.G. JIGG & FRIENDS ,06 A6. Merry on Mead
1828,08 Perpetual Care.mp3,08 Perpetual Care
1829,04,c1c18415
1830,02 HFL Track.mp3,02 HFL Track
1831,06,6c445e4c
1832,1,04 Meek
1833,O.G. JIGG & FRIENDS ,
1834,Huerco S. ,02 Plonk II
1835,01 Nikolaienko ,April Echo
1836,King Doudou ,Pastillas (King Doudou Edit)
1837,02,725308
1838,John T. Gast ,04 LUTON
1839,Répéter ,03 Sayonara
1840,joeFarr ,IDOMTYK
1841,01,f1c3ce16
1842,Clouds ,Chained To A Dead Camel
1843,04 ,Third Triad
1844,2 ,Drug Dealer
1845,Huerco S. ,03 Plonk III
1846,Bad Tracking ,03 Banned From Motion
1847,10 ,Cradle
1848,1,03 Ore
1849,wzrdryAV ,05 Posted Up
1850,1,01 Elo
1851,Overmono ,02 Bby
1852,Keepsakes ,01 Ever So Merry
1853,01 ,Lightyear Dub
1854,Peverelist ,The Grind
1855,08 Oklahoma.mp3,08 Oklahoma
1856,02 swims (alternate mix).mp3,02 swims (alternate mix)
1857,Bearer ,Blu
1858,6 Boss Moves.mp3,6 Boss Moves
1859,09. Rhythm & Sound ,Range
1860,05,36cd7fd4
1861,3 ,Lines
1862,Syncom Data ,13 IJsfee (Digital only)
1863,02 Intenso.mp3,02 Intenso
1864,02 ,Make Me
1865,02 Mephisto's Lament.mp3,02 Mephisto's Lament
1866,10 Groupie.mp3,10 Groupie
1867,Ancient Methods ,Castling Becomes Inevitable
1868,01 Rhein Rauf.mp3,01 Rhein Rauf
1869,01 ,Tonic
1870,16  Left In The Dark (Slowed).mp3,16  Left In The Dark (Slowed)
1871,09 ,speeka box
1872,Young Druid ,09 Blue
1873,08 ,Arrival
1874,05,db42fbc2
1875,Jordan Zawideh ,Work Delay
1876,Cop Envy ,Low Air (Original Mix) [Hypercolour]
1877,04 ,Abstrkt
1878,CS + Kreme ,02 Basic Instinct (Club Scene)
1879,01 ,Immersion I
1880,Jay Glass Dubs ,02 Animal Estate ft. Yorgia Karidi
1881,10. The Door.mp3,10. The Door
1882,SKREAM ,Mash Up
1883,Big Hands ,Night Bulbs
1884,07 I Believe.mp3,07 I Believe
1885,Sully ,Bullseye feat. Jamakabi
1886,Grim Lusk ,Search
1887,12 ,A Form of Love
1888,Ascion ,Xatatonic State
1889,Vivian Jackson & the Prophets ,15 Go to school Jah Jah Children (ureleased mix)
1890,Various Artists ,Sometimes You Feel Bad
1891,05 To Zion feat. Carlos Santana.mp3,05 To Zion feat. Carlos Santana
1892,Ebb ft. Akcept ,Wild Wood
1893,09 Hands.mp3,09 Hands
1894,03,detached
1895,Data Assault ,02 Pesadelo Absoluto
1896,10,O Canto Do Pagé
1897,01 ,Love in the Jungle
1898,03 Like What.mp3,03 Like What
1899,Lurka ,02 Wrapped Up
1900,09 ,s gets jaded
1901,04,Blackboard
1902,02 Disillusion Pyramid (Ft. Rasputin).mp3,02 Disillusion Pyramid (Ft. Rasputin)
1903,Ninja Exotic Machine Ft. Yeho ,02 36 Questions
1904,10 Soffio Del Clelo.mp3,10 Soffio Del Clelo
1905,1,13 8 Ball
1906,04 ,Je T'Aime
1907,10 Entre Vampiros E Piranhas.mp3,10 Entre Vampiros E Piranhas
1908,03 Closest Approach To Your Orbit.mp3,03 Closest Approach To Your Orbit
1909,Emma DJ ,amor v2
1910,03 ,Down and Out
1911,13 Orbit Of Zero.mp3,13 Orbit Of Zero
1912,British Murder Boys ,Hate Is Such A Strong Word
1913,Chaperone ,10 Imperfect Direction (Dub Version)
1914,06 ,Secondsight
1915,10 ,Leith Tornn Carnal
1916,Sunun + Jiinx ,02 EMBER B
1917,05 Message From Another Table.mp3,05 Message From Another Table
1918,1,01 Piper (Peverelist Remix)
1919,Camboja ,16 The River You Can't Stop
1920,Pawel's Bar ,01 Dub Prejudice
1921,SONS OF TRADERS ,
1922,03 I'm The Needle.mp3,03 I'm The Needle
1923,John T. Gast ,01 COMPANY
1924,k,02 barbarossa
1925,03 ,Lose You Beau
1926,05 ,Easy Street
1927,16 Everything In The Open.mp3,16 Everything In The Open
1928,07 ,Flowdan
1929,SONS OF TRADERS ,04 A4. Sharon
1930,06  I Had To Slow It Down (Instrumental).mp3,06  I Had To Slow It Down (Instrumental)
1931,Noire ,Rage Riddim
1932,Mina ,04 Sentah (PEDRO Remix)
1933,03 Nocturnal Vigilance.mp3,03 Nocturnal Vigilance
1934,09,cbd7170e
1935,03,70e004b3
1936,02 Placer de Chismear (King Doudou Edit).mp3,02 Placer de Chismear (King Doudou Edit)
1937,04 Enter.mp3,04 Enter
1938,01,void_23
1939,02 ,The Windrunner
1940,ILK & Pugilist ,02 Untitled
1941,Various Artists ,Lady Rain
1942,08 Lutto Lento ,The Living Hell
1943,Jay Glass Dubs ,08 To My Benefitors
1944,05 ,LV
1945,Babe Roots ,06 Sufferation Time feat Kojo Neatness
1946,Walton ,03 Black Hole
1947,03. Toma Kami ,Volvo
1948,02 Two Orders.mp3,02 Two Orders
1949,Steam ,Crack
1950,06. Full Time (feat. Based Kash).mp3,06. Full Time (feat. Based Kash)
1951,09 Scientist ,Fight For Your Dub
1952,01. lizzy mercier descloux ,lady o k'pele
1953,a rocket in dub ,04 OVER THE DUB
1954,03 Cru Servers ,Henge Salt Phrasal
1955,Duma ,08 Sin Nature
1956,Parris ,04 Hanging With The Birds
1957,Dori Sorride ,08 Povero
1958,03. A Sense of Place.mp3,03. A Sense of Place
1959,01,mkd
1960,01,fb8021db
1961,10,snz
1962,memotone ,01 Rain Hut
1963,04 ,411 Esperanza Sunshine Mix
1964,A1 ,Lads on highway
1965,03. cottagecore crisis.mp3,03. cottagecore crisis
1966,14 ,My Dream (Feat. James Vickery)
1967,Lurka ,01 Point Noise Behaviours
1968,YOUTH ,Draco Beat
1969,06 Gulli Vereisen.mp3,06 Gulli Vereisen
1970,02 B1 Shimmer (SD Master)01.mp3,02 B1 Shimmer (SD Master)01
1971,02 Babylon Kingdom Shall Fall.mp3,02 Babylon Kingdom Shall Fall
1972,08 ,Her In
1973,SECRET BOYFRIEND ,05 Stripping At The Nail
1974,06. Megatrap (Mix Mix).mp3,06. Megatrap (Mix Mix)
1975,03,25973fa7
1976,01 ,Another Thought
1977,"Cop Envy, DJ Plead ",Dash to Finish (Original Mix) [Decisions]
1978,Parris ,03 Aqua Surge
1979,06 Industrial Lies.mp3,06 Industrial Lies
1980,138 ,Deconstruct (JoeFarr Remix)
1981,10 ,White Lotus
1982,02,The Fast Lane
1983,05 Tabula Rasa.mp3,05 Tabula Rasa
1984,Myler ,Glad Bags
1985,03 ,Play On
1986,3 ,GTFOMF
1987,Anthony Naples ,12 I Don't Know If That's Just Dreaming
1988,Krikor ,01 GUNCLASHRIDDIM FACE A
1989,04 Nitemare House.mp3,04 Nitemare House
1990,SSIEGE ,03 Dune
1991,06 Pale.mp3,06 Pale
1992,02,c9ae8767
1993,Lone ,Temples
1994,02 Piste jaune.mp3,02 Piste jaune
1995,Ninja Exotic Machine ,03 Exotic Dreams
1996,06# super siziy king.mp3,06# super siziy king
1997,Pugilist ,Seek Truth
1998,06,b12a5462
1999,09_meteora.mp3,09_meteora
2000,06,47106315
2001,EGOLESS ,10 Dub Dedication (Original Lion Charge Mix)
2002,Warehouse Rave ,Dont Hold Back (alright)
2003,07 ,esteban
2004,03,80162d34
2005,01 Audio Track 01.mp3,01 Audio Track 01
2006,04. Saint Abdullah ,Bedroom Windows
2007,11 Lutto Lento ,Weakness
2008,Branko + PEDRO ,01 MPTS
2009,Hundebiss Records ,01 CONDE – Jim C. Nedd
2010,gorgon sound,04_Medusa
2011,01,The Mandrake
2012,01 Black Focus.mp3,01 Black Focus
2013,03 Dust.mp3,03 Dust
2014,Jay Glass Dubs ,01 Seikilos & To Console Him
2015,Bambounou x Bruce ,03 Final Conference
2016,Jay Glass Dubs ,05 A New Model For Emulation
2017,06. The Jutlandia Quartets.mp3,06. The Jutlandia Quartets
2018,Unbenannt (drum mix).mp3,Unbenannt (drum mix)
2019,01 Ris.mp3,01 Ris
2020,03 Beliefs.mp3,03 Beliefs
2021,Seif Gaber ,LIFE (excerpt)
2022,Low Jack ,05 Raid Leader
2023,05 ,How Does It Work_
2024,02 Llamada pal Salside (King Doudou Edit).mp3,02 Llamada pal Salside (King Doudou Edit)
2025,02 X3.mp3,02 X3
2026,Logic1000 ,01 Precision
2027,07. Power Seat.mp3,07. Power Seat
